Qty;Value;Device;Package;Parts;Description
2;;SPDT.WIRE;SPDT.WIRE;MODE, MODE_B;SPDT Switches
5;100k;R-US_0204/5;0204/5;R2, R4, R6, R8, R9;RESISTOR, American symbol
1;100k;TRIMMER;TRIM1;GAIN;Trimpots
2;100n;C-EU050-025X075;C050-025X075;C1, C11;CAPACITOR, European symbol
1;100p;C-EU050-025X075;C050-025X075;C2;CAPACITOR, European symbol
4;10k;R-US_0204/5;0204/5;R3, R10, R12, R14;RESISTOR, American symbol
1;10u;CPOL-USE2.5-6;E2,5-6;C10;POLARIZED CAPACITOR, American symbol
2;1M;R-US_0204/5;0204/5;R1, R5;RESISTOR, American symbol
1;1n;C-EU050-025X075;C050-025X075;C8;CAPACITOR, European symbol
4;1u;C-EU050-025X075;C050-025X075;C3, C5, C6, C9;CAPACITOR, European symbol
1;220u;CPOL-USE2.5-6;E2,5-6;C13;POLARIZED CAPACITOR, American symbol
1;2N3906;2N3906;TO92;Q2;PNP Transistor
2;2N5457;2N5457;TO92;Q1, Q3;2n5457, J201, MPF102
1;330p;C-EU050-025X075;C050-025X075;C4;CAPACITOR, European symbol
1;33k;R-US_0204/5;0204/5;R7;RESISTOR, American symbol
1;3k3;R-US_0204/5;0204/5;R11;RESISTOR, American symbol
1;47n;C-EU050-025X075;C050-025X075;C7;CAPACITOR, European symbol
1;500k;TRIMMER;TRIM1;H_GAIN;Trimpots
1;LM386N;LM386;DIP08;U1;low voltage audio power amplifier
1;TL074P;TL074P;DIL14;IC1;OP AMP
